LogGDP,LogDebt,LogNationalSavings,LogRatio,GDP,Debt,NationalSavings,Ratio,Country_Name,Year
23.236979368166644,0,21.62152338340698,0,12350709752,0,2455321098.6976,0,Ecuador,1980-01-01
23.7249309517415,0,21.921908290234732,0,20119009508,0,3315612766.9184,0,Egypt,1980-01-01
20.883072771959306,0,0,0,1173284329,0,0,0,"El Salvador",1980-01-01
17.800601127366345,18.19054642381647,0,0.9785632994542935,53790161,79442688.7809,-15830444.3823,1.4769,"Equatorial Guinea",1980-01-01
NULL,0,0,0,0,0,0,NULL,Eritrea,1980-01-01
NULL,0,0,0,0,0,0,NULL,Estonia,1980-01-01
NULL,0,0,0,0,0,0,NULL,Ethiopia,1980-01-01
22.496307390565793,0,0,0,5888737060,0,0,0,"Ethiopia (Former)",1980-01-01
20.918291832843735,0,0,0,1215342580,0,0,0,Fiji,1980-01-01
24.69377384850617,22.46999993593641,23.397685755272427,1.0989663515313706,53011454432,5735839369.5424,14503933932.5952,0.1082,Finland,1980-01-01
27.260451181308774,25.68686292176837,25.784232112660895,1.0612604296730554,690340769392,143107641494.9616,157742865806.072,0.2073,France,1980-01-01
21.045895260260224,0,0,0,1380753581,0,0,0,"French Polynesia",1980-01-01
22.379680256152923,0,21.773444447582275,0,5240486928,0,2858161570.5312,0,Gabon,1980-01-01
20.038047422481554,0,0,0,503980141,0,0,0,Gambia,1980-01-01
NULL,0,0,0,0,0,0,NULL,Georgia,1980-01-01
27.547259655000516,0,26.044880814859823,0,919650602534,0,204714224124.06842,0,Germany,1980-01-01
22.37278663652419,0,17.27332012872132,0,5204485238,0,31747359.951800004,0,Ghana,1980-01-01
24.716039283342717,23.22793365607614,23.15634346280343,1.0640653468922452,54205015789,12239492565.1562,11393894318.8478,0.2258,Greece,1980-01-01
19.964071670087183,0,0,0,468043440,0,0,0,Greenland,1980-01-01
18.130526484830444,0,16.425678387591685,0,74814815,0,13601333.366999999,0,Grenada,1980-01-01
22.672641566078855,0,20.741620029517293,0,7024301145,0,1018523666.025,0,Guatemala,1980-01-01
21.1197337823656,0,18.717328354089346,0,1486564786,0,134534113.13300002,0,Guinea,1980-01-01
20.05647642427495,0,17.179415680438456,0,513354103,0,28901835.9989,0,Guinea-Bissau,1980-01-01
20.66477493868445,0,17.46324775215086,0,943186825,0,38387703.7775,0,Guyana,1980-01-01
21.048099175028984,0,19.211760662402963,0,1383800000,0,220577719.99999997,0,Haiti,1980-01-01
21.84207496245481,0,19.579671659093595,0,3061206519,0,318671598.6279,0,Honduras,1980-01-01
23.942491152135755,0,22.669168269675026,0,25008738785,0,6999945985.921499,0,Hungary,1980-01-01
21.926627288034034,20.561702952650336,20.61506927302816,1.0663818720913758,3331296112,850813027.0048001,897451172.5728,0.2554,Iceland,1980-01-01
25.942326178301997,0,24.224746107248194,0,184760490685,0,33164508077.9575,0,India,1980-01-01
25.100738267470117,0,23.650864924707356,0,79636492041,0,18682721032.8186,0,Indonesia,1980-01-01
25.244433331391836,0,0,0,91942878141,0,0,0,"Iran (Islamic Republic of)",1980-01-01
23.245655883855328,0,0,0,12458337119,0,0,0,Iraq,1980-01-01
23.79012024902184,23.362102736443166,21.920615431168933,1.0183210183350062,21474247190,13996914318.442001,3311328916.698,0.6518,Ireland,1980-01-01
23.8893231611437,0,22.040993340427253,0,23713803961,0,3734924123.8575,0,Israel,1980-01-01
26.858933804752358,0,25.402216979335922,0,462047623901,0,107657096368.933,0,Italy,1980-01-01
21.83692942076964,0,19.643198732687676,0,3045495409,0,339572738.1035,0,Jamaica,1980-01-01
27.714431618857844,27.03380571885157,26.534500809012147,1.0251768436558546,1086987928704,550341988302.8353,334031390490.7392,0.5063000000000001,Japan,1980-01-01
22.112820856088394,0,20.978374114411068,0,4013063919,0,1290601356.3504,0,Jordan,1980-01-01
NULL,0,0,0,0,0,0,NULL,Kazakhstan,1980-01-01
22.938624897404882,0,19.997380809134963,0,9164699202,0,483896117.86560005,0,Kenya,1980-01-01
17.35805448093376,0,0,0,34554712,0,0,0,Kiribati,1980-01-01
NULL,0,0,0,0,0,0,NULL,Kosovo,1980-01-01
24.07983602031494,0,23.72729537551466,0,28690618373,0,20166635654.381702,0,Kuwait,1980-01-01
NULL,0,0,0,0,0,0,NULL,Kyrgyzstan,1980-01-01
19.578279230600373,0,0,0,318228180,0,0,0,"Lao Peoples Democratic Republic",1980-01-01
NULL,0,0,0,0,0,0,NULL,Latvia,1980-01-01
22.12798363427437,0,20.167568799016173,0,4074376779,0,573672250.4832001,0,Lebanon,1980-01-01
19.676499963066554,0,18.938773739108644,0,351071324,0,167882307.1368,0,Lesotho,1980-01-01
20.45564183105885,0,0,0,765195436,0,0,0,Liberia,1980-01-01
24.365729352328312,0,23.588113015141918,0,38185792234,0,17546371531.523003,0,Libya,1980-01-01
20.097215010353754,0,0,0,534699257,0,0,0,Liechtenstein,1980-01-01
NULL,0,0,0,0,0,0,NULL,Lithuania,1980-01-01
22.509835482138197,0,20.646150273338552,0,5968941719,0,925782860.6169,0,Luxembourg,1980-01-01
21.906489186148136,0,17.466833438637618,0,3264881112,0,38525597.1216,0,Madagascar,1980-01-01
21.256872074108916,0,18.732392649201092,0,1705070122,0,136576116.77220002,0,Malawi,1980-01-01
23.998810984680176,0,22.858438761763836,0,26457644875,0,8458509066.537499,0,Malaysia,1980-01-01
18.22957477695553,0,0,0,82604505,0,-536929.2825000001,0,Maldives,1980-01-01
21.075864150206332,0,18.547632375679957,0,1422759525,0,113536210.09500001,0,Mali,1980-01-01
20.946568620382514,0,0,0,1250199056,0,0,0,Malta,1980-01-01
17.103650769455854,0,0,0,26792988,0,0,0,"Marshall Islands",1980-01-01
21.125800724816088,0,19.041547626139028,0,1495611103,0,186054021.2132,0,Mauritania,1980-01-01
20.871596592392397,0,18.875760634567357,0,1159896475,0,157629930.9525,0,Mauritius,1980-01-01
26.151136012854266,0,24.70339168941815,0,227663844757,0,53523769902.370705,0,Mexico,1980-01-01
18.036057091018865,0,0,0,68070677,0,0,0,"Micronesia (Federated States of)",1980-01-01
21.047470642524296,0,0,0,1382930510,0,0,0,Monaco,1980-01-01
20.19888720804927,0,18.791573479705306,0,591923054,0,144902763.61920002,0,Mongolia,1980-01-01
NULL,0,0,0,0,0,0,NULL,Montenegro,1980-01-01
17.002781034242833,0,0,0,24222222,0,0,0,Montserrat,1980-01-01
23.769205820571965,0,22.23950287615672,0,21029789573,0,4555052421.511801,0,Morocco,1980-01-01
22.2973136219807,0,19.884913662979447,0,4826143903,0,432422493.7088001,0,Mozambique,1980-01-01
22.499098170221025,0,0,0,5905194181,0,0,0,Myanmar,1980-01-01
21.652268133856396,0,0,0,2531981751,0,0,0,Namibia,1980-01-01
17.392308656531902,0,0,0,35758861,0,0,0,Nauru,1980-01-01
21.46000078454922,0,19.701482649100967,0,2089103335,0,359952504.6205,0,Nepal,1980-01-01
25.920528676286303,0,24.399101641174916,0,180776749057,0,39481641994.048805,0,Netherlands,1980-01-01
20.66505283333975,0,0,0,943448968,0,0,0,"Netherlands Antilles",1980-01-01
20.890866170465426,0,0,0,1182463925,0,0,0,"New Caledonia",1980-01-01
23.873109283175836,0,21.96053719373103,0,23332411518,0,3446197181.2086,0,"New Zealand",1980-01-01
21.45659285564833,0,17.38205092072241,0,2081995937,0,35393930.929000005,0,Nicaragua,1980-01-01
21.715560120598916,0,19.947126476674356,0,2697416016,0,460179172.3296,0,Niger,1980-01-01
25.257806009708464,0,23.864688423240448,0,93180658447,0,23136757492.3901,0,Nigeria,1980-01-01
24.87767084963492,24.129433702757016,23.65790735940266,1.03100931236494,63714044220,30149485724.904,18814757258.166,0.4732,Norway,1980-01-01
20.79463744273363,0,0,0,1073980249,0,0,0,"Occupied Palestinian Territory",1980-01-01
22.55680915140798,0,21.37100365103749,0,6256014459,0,1911212417.2245,0,Oman,1980-01-01
24.08216236764675,0,22.291801919332404,0,28757440412,0,4799616804.7628,0,Pakistan,1980-01-01
16.960271315268965,0,0,0,23214121,0,0,0,Palau,1980-01-01
22.12298261651826,0,20.2547739751268,0,4054051614,0,625945569.2016001,0,Panama,1980-01-01
