Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,Manufacturing (ISIC D),"373,877,335","391,455,372","341,092,789","370,557,664","460,817,618","505,912,461","546,384,476","631,350,868","705,273,363","791,037,398","778,217,708","742,894,152","737,621,190","724,218,715","716,158,634","721,942,252","692,941,769","616,003,995","447,692,385","511,180,371","732,751,506","665,367,324","413,293,540","273,798,361","170,408,801","172,725,000","209,795,630","255,257,844","310,306,362","364,578,782","595,091,399","698,864,639","725,472,357","768,250,299","916,453,414","1,033,446,125","1,142,305,901","1,724,289,847","1,828,437,362","1,598,350,720","1,957,764,950","2,644,677,086"
Afghanistan,Construction (ISIC F),"47,265,585","49,487,974","43,120,174","46,846,637","58,257,347","63,952,146","69,081,948","79,815,901","89,127,515","100,074,312","98,350,531","93,775,024","93,619,204","91,240,312","90,077,381","93,099,995","85,299,993","77,100,008","63,700,003","79,300,006","112,500,008","106,400,000","134,900,005","103,900,000","76,500,000","164,600,000","164,479,824","164,359,737","164,239,737","158,792,896","213,421,729","229,567,300","184,076,339","251,011,256","432,936,873","608,854,330","788,597,679","830,630,984","870,467,448","992,627,919","1,238,944,046","1,496,035,796"
Afghanistan,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","228,666,504","239,405,657","208,640,693","226,619,566","281,784,694","309,617,067","333,952,851","385,921,667","432,702,258","481,606,709","475,832,619","460,827,487","438,733,578","448,508,812","463,362,340","375,100,001","481,500,001","449,700,010","242,999,998","154,800,002","1,007,299,991","456,300,002","481,900,004","326,499,997","137,700,000","312,100,000","255,161,993","208,611,479","170,553,414","134,912,646","148,354,129","167,335,201","430,569,367","465,129,599","516,414,226","581,598,830","641,137,464","897,681,919","957,153,994","989,826,130","1,284,732,794","1,563,465,460"
Afghanistan,"Transport, storage and communication (ISIC I)","84,762,563","88,745,458","77,327,147","84,015,070","104,462,407","114,688,898","123,915,465","143,050,778","159,900,189","179,624,943","175,830,580","168,746,372","168,276,600","161,153,838","165,274,171","166,799,997","142,200,002","157,400,002","122,100,004","151,899,999","220,299,999","212,800,000","252,999,997","86,600,004","57,299,999","212,500,000","215,133,893","217,800,432","220,500,022","215,987,473","294,105,554","344,350,950","428,961,344","636,387,360","782,584,501","765,497,689","950,739,819","1,439,613,595","1,820,516,966","2,312,250,373","3,141,125,289","3,463,599,814"
Afghanistan,Other Activities (ISIC J-P),"129,035,466","135,102,278","117,719,981","127,890,270","159,041,626","174,600,258","188,578,614","217,897,527","243,383,085","273,064,199","268,562,243","256,279,528","254,861,204","249,712,488","246,787,947","250,600,018","237,400,014","211,900,012","147,399,984","172,999,986","241,400,005","227,399,995","257,699,994","177,400,000","119,900,000","245,500,001","234,909,015","224,784,006","215,104,011","199,167,678","256,366,346","237,864,913","509,891,458","562,806,609","682,679,207","912,705,675","1,028,756,328","1,423,201,127","1,696,477,196","1,981,798,311","2,891,235,407","3,126,647,479"
Afghanistan,Total Value Added,"1,748,905,464","1,831,128,716","1,595,572,660","1,733,352,009","2,155,578,723","2,366,691,969","2,555,583,572","2,953,364,876","3,300,034,860","3,697,983,575","3,641,758,885","3,478,823,324","3,438,936,748","3,399,452,075","3,360,484,639","3,322,000,002","3,320,499,991","2,887,599,993","2,664,200,010","3,342,100,001","3,621,600,007","3,340,100,005","3,474,600,007","2,664,399,992","2,114,600,000","3,236,300,000","3,078,205,867","2,947,208,167","2,842,648,494","2,674,890,351","3,531,869,351","3,620,525,250","4,136,872,395","4,721,513,514","5,210,144,672","6,195,989,370","7,041,195,204","9,861,831,487","10,220,634,308","11,856,850,472","15,086,498,861","17,879,095,602"
Albania,Final consumption expenditure,"1,518,291,365","1,561,968,405","1,606,908,267","1,652,656,555","1,700,683,918","1,749,635,603","1,797,864,494","1,853,301,729","1,905,109,255","1,581,494,846","1,450,000,000","1,478,142,857","1,495,428,571","1,569,428,571","1,626,571,429","1,635,571,429","1,708,142,857","1,778,285,714","1,854,872,543","2,126,753,631","1,842,361,832","1,872,097,870","2,703,726,236","2,355,916,556","2,137,703,167","2,579,023,053","3,537,283,584","2,498,782,173","2,782,595,246","3,173,809,477","3,130,475,241","3,288,263,231","3,821,149,858","4,902,652,350","6,501,137,704","7,251,121,708","7,860,130,662","9,675,518,639","11,615,829,653","9,900,280,176","10,608,112,443","11,789,334,880"
Albania,Household consumption expenditure (including Non-profit institutions serving households),"1,312,560,783","1,350,286,963","1,389,164,022","1,428,759,886","1,470,097,115","1,512,641,040","1,554,448,120","1,601,423,386","1,647,804,462","1,367,667,641","1,250,714,286","1,282,285,714","1,292,571,429","1,359,857,143","1,404,714,286","1,411,571,429","1,477,857,143","1,540,714,286","1,613,793,085","1,858,401,270","1,615,733,620","1,506,385,699","2,394,050,495","2,106,898,841","1,867,764,996","2,240,741,460","3,232,477,936","2,262,655,327","2,503,859,186","2,832,300,139","2,786,352,628","2,865,448,857","3,324,756,291","4,282,404,409","5,698,610,180","6,364,891,864","6,948,732,494","8,587,893,016","10,293,670,722","8,618,613,512","9,380,483,847","10,507,327,963"
Albania,General government final consumption expenditure,"205,730,582","211,681,441","217,744,245","223,896,669","230,586,803","236,994,563","243,416,374","251,878,343","257,304,794","213,827,206","199,285,714","195,857,143","202,857,143","209,571,429","221,857,143","224,000,000","230,285,714","237,571,429","241,079,458","268,352,360","226,628,213","365,712,172","309,675,742","249,017,715","269,938,171","338,281,592","304,805,648","236,126,846","278,736,060","341,509,338","344,122,613","422,814,374","496,393,567","620,247,942","802,527,524","886,229,844","911,398,168","1,087,625,623","1,322,158,930","1,281,666,664","1,227,628,596","1,282,006,917"
Albania,Gross capital formation,"824,850,020","848,318,607","872,343,965","898,790,644","922,806,967","948,579,365","983,026,379","998,756,168","1,030,292,284","886,743,469","747,571,429","807,857,143","929,714,286","851,857,143","747,857,143","810,285,714","779,428,571","688,142,857","745,277,353","966,721,026","542,850,553","121,552,340","81,825,218","232,648,255","348,818,256","520,580,706","468,063,610","393,953,452","580,344,355","812,663,856","1,154,997,382","1,559,607,345","1,684,005,674","2,305,215,067","2,718,212,306","3,017,455,013","3,505,302,368","4,136,533,365","5,316,215,683","5,180,032,632","3,865,997,210","4,060,878,589"
Albania,Gross fixed capital formation (including Acquisitions less disposals of valuables),"767,056,789","789,243,724","811,525,122","835,122,162","859,729,579","882,213,855","910,110,111","937,984,400","953,218,828","810,074,210","733,428,571","713,857,143","820,428,571","836,142,857","871,285,714","799,142,857","779,428,571","786,000,000","812,293,844","954,975,512","767,760,884","121,552,340","81,825,218","232,648,255","348,818,256","520,580,706","701,244,534","476,317,731","571,123,585","787,264,330","1,154,996,754","1,559,607,476","1,684,007,189","2,305,214,960","2,718,217,150","3,017,455,546","3,505,302,368","4,136,533,365","5,316,215,683","5,180,032,632","3,865,997,210","4,060,878,589"
Albania,Changes in inventories,"57,793,232","59,074,883","60,818,843","63,668,482","63,077,388","66,365,511","72,916,268","60,771,768","77,073,456","76,669,259","14,142,857","94,000,000","109,285,714","15,714,286","-123,428,571","11,142,857",,"-97,857,143","-67,016,491","11,745,514","-224,910,331",,,,,,"-233,180,924","-82,364,278","9,220,769","25,399,526",628,-131,"-1,515",107,"-4,844",-534,,,,,,
Albania,Exports of goods and services,"526,818,201","541,981,319","557,877,347","573,112,165","590,139,851","608,416,607","621,350,910","644,314,395","666,696,673","536,391,520","512,932,374","527,515,855","457,747,771","434,612,743","410,550,280","390,975,186","373,943,106","381,068,039","417,589,022","546,548,670","330,361,833","119,661,180","180,809,424","271,819,941","221,210,944","309,259,006","371,128,237","226,539,842","294,595,121","541,709,523","650,288,632","749,375,370","870,783,929","1,159,412,918","1,606,311,484","1,862,111,969","2,242,262,687","3,005,298,570","3,813,890,457","3,507,468,569","3,810,280,756","4,344,033,440"
Albania,Imports of goods and services,"522,912,769","537,876,041","553,388,493","569,319,425","585,384,267","602,662,087","619,917,154","636,349,931","657,614,534","547,016,492","491,646,660","518,372,998","520,462,056","467,612,743","427,407,423","428,832,329","378,228,820","383,782,324","468,863,384","593,693,856","494,089,154","457,004,886","1,392,797,090","1,097,897,911","759,027,080","855,538,389","1,061,577,304","794,753,839","940,945,900","1,103,268,305","1,384,985,790","1,585,580,125","1,969,833,781","2,567,889,500","3,242,510,455","3,872,963,713","4,363,153,936","5,862,900,235","7,271,482,076","6,468,994,134","6,330,758,767","7,258,497,798"
Albania,Gross Domestic Product (GDP),"2,347,186,422","2,414,535,901","2,483,888,823","2,555,391,928","2,628,402,800","2,704,130,324","2,782,490,126","2,860,192,479","2,944,658,820","2,457,759,525","2,218,989,123","2,295,279,375","2,362,569,092","2,388,427,773","2,357,711,660","2,408,143,231","2,483,433,423","2,463,860,831","2,549,027,144","3,046,510,670","2,221,749,354","1,656,306,504","1,573,564,242","1,762,486,827","1,948,705,393","2,478,955,743","3,314,897,763","2,324,521,628","2,716,589,954","3,424,911,048","3,639,590,308","4,065,716,121","4,443,030,580","5,695,705,637","7,307,075,559","8,158,552,356","8,992,644,557","10,701,016,316","12,985,674,651","12,118,787,243","11,953,631,642","13,000,017,874"
Albania,"Agriculture, hunting, forestry, fishing (ISIC A-B)","864,894,615","889,863,130","915,457,833","941,257,741","969,177,228","996,744,263","1,023,100,568","1,057,996,751","1,084,239,725","897,002,872","835,535,622","833,439,096","839,312,581","912,690,830","874,585,366","933,768,021","946,251,144","916,707,792","899,833,768","1,102,734,007","893,562,668","703,455,707","853,282,336","963,043,929","1,064,800,789","1,353,164,864","1,165,148,532","701,696,427","735,441,469","835,184,202","855,253,628","892,352,153","959,712,209","1,222,788,659","1,474,624,679","1,518,370,017","1,576,377,945","1,832,928,362","2,170,797,340","2,039,734,124","2,177,164,353","2,242,999,221"
Albania,"Mining, Manufacturing, Utilities (ISIC C-E)","768,018,322","790,208,781","812,808,606","835,920,852","860,701,523","884,560,593","909,275,453","939,533,159","960,174,065","800,726,427","740,231,671","731,814,199","767,744,569","765,901,801","769,588,851","775,033,242","808,708,374","841,253,638","882,276,767","978,805,677","826,168,855","531,100,476","265,318,010","244,150,002","244,252,651","290,655,088","314,212,797","194,540,320","188,017,349","234,726,945","261,142,734","274,933,727","282,491,005","450,729,486","661,907,143","784,202,968","899,127,050","903,403,213","1,135,108,569","1,080,129,945","1,214,361,550","1,205,232,778"
Albania,Manufacturing (ISIC D),"443,550,416","456,365,978","469,418,006","482,765,835","497,077,354","510,856,786","525,129,709","542,604,800","554,526,196","462,438,421","427,504,163","422,644,003","443,383,400","442,338,363","444,463,627","447,558,161","467,122,046","485,838,938","509,319,316","565,815,026","476,897,307","306,215,596","154,120,832","140,205,452","140,336,311","172,608,283","174,188,592","111,945,723","122,545,253","151,762,739","160,127,294","166,218,962","190,040,969","267,884,699","385,474,609","485,470,877","600,819,276","788,544,857","922,847,795","785,460,750","835,139,420","891,562,864"
Albania,Construction (ISIC F),"173,794,957","178,817,418","183,933,611","189,156,450","194,772,514","200,177,334","205,731,582","212,639,664","217,307,184","181,068,592","167,676,371","165,615,147","173,170,799","174,390,298","173,676,722","173,075,680","189,352,943","184,789,828","190,823,860","262,133,641","147,209,230","109,552,094","120,026,292","159,522,959","187,279,388","254,818,091","162,789,540","135,441,033","128,355,388","195,674,238","278,196,105","393,422,766","493,488,915","714,298,199","918,776,542","1,018,916,999","1,159,223,091","1,433,024,890","1,733,730,506","1,537,350,574","1,150,440,090","1,545,310,811"
Albania,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","269,982,821","277,558,073","285,579,499","294,244,067","301,582,455","311,061,636","321,842,859","324,689,623","341,311,642","288,965,412","237,607,543","282,489,875","289,567,371","270,205,460","269,976,463","266,168,326","271,595,884","257,810,402","283,192,987","353,203,716","172,344,453","157,448,592","174,621,276","209,953,851","235,747,036","293,510,131","870,382,585","608,152,500","687,842,443","961,053,376","922,092,672","950,938,833","977,018,822","1,145,991,101","1,430,325,226","1,592,358,013","1,693,368,821","2,046,242,102","2,449,476,958","2,268,996,485","2,236,934,636","2,439,640,305"
Albania,"Transport, storage and communication (ISIC I)","99,667,722","102,463,755","105,424,841","108,625,198","111,331,092","114,831,476","118,819,423","119,850,779","126,002,094","106,702,532","87,660,141","104,322,865","106,996,191","99,431,322","100,001,126","98,514,630","98,708,416","97,377,294","104,573,645","121,372,782","72,679,602","54,220,714","47,178,682","54,505,553","65,660,337","87,575,177","184,589,208","163,135,544","256,915,911","349,280,966","332,180,042","436,300,468","433,785,523","449,590,012","595,976,547","693,331,567","764,129,658","934,815,174","1,118,210,863","1,026,057,960","1,037,983,287","1,116,320,058"
Albania,Other Activities (ISIC J-P),"172,570,552","177,412,596","182,539,860","188,078,051","192,768,802","198,827,947","205,718,541","207,539,096","218,163,941","184,701,855","151,879,117","180,565,905","185,078,786","172,729,983","172,561,465","170,092,762","173,698,448","164,721,561","180,861,736","226,419,464","109,784,546","100,427,951","113,137,646","131,310,533","150,965,191","199,243,179","488,744,415","417,737,519","554,295,641","659,528,036","708,457,402","826,024,586","950,737,828","1,212,976,841","1,530,911,866","1,778,757,859","2,013,353,728","2,499,715,008","3,000,421,887","2,907,668,265","2,906,891,436","3,094,730,248"
Albania,Total Value Added,"2,348,928,988","2,416,323,753","2,485,744,249","2,557,282,358","2,630,333,614","2,706,203,248","2,784,488,426","2,862,249,074","2,947,198,651","2,459,167,690","2,220,590,466","2,298,247,087","2,361,870,297","2,395,349,693","2,360,389,994","2,416,652,661","2,488,315,209","2,462,660,515","2,541,562,762","3,044,669,288","2,221,749,354","1,656,205,535","1,573,564,242","1,762,486,827","1,948,705,393","2,478,966,531","3,185,867,076","2,220,703,343","2,550,868,201","3,235,447,764","3,357,322,583","3,773,972,534","4,097,234,302","5,196,374,297","6,612,522,003","7,385,937,423","8,105,580,293","9,650,128,750","11,607,746,122","10,859,937,354","10,723,775,352","11,644,233,420"
Algeria,Final consumption expenditure,"3,759,914,781","4,071,196,062","5,237,931,934","6,282,922,854","7,571,129,584","9,982,001,526","10,850,359,948","13,554,684,285","16,509,241,286","19,714,181,911","24,112,366,291","26,305,616,760","27,485,568,807","29,417,808,225","33,149,221,163","36,927,483,193","44,511,102,683","43,894,688,549","47,209,402,456","44,198,254,816","45,067,019,195","29,622,930,919","33,572,242,264","37,281,338,142","31,416,032,455","30,527,334,497","31,788,911,565","32,754,493,145","35,076,515,799","33,261,080,266","30,219,641,187","32,018,255,947","33,756,367,506","37,519,515,963","44,655,726,808","46,657,770,810","50,249,379,359","58,488,702,946","74,411,885,208","74,533,209,141","84,991,063,056","103,439,351,982"
Algeria,Household consumption expenditure (including Non-profit institutions serving households),"3,073,649,020","3,281,699,561","4,225,237,235","5,147,633,153","6,152,962,987","7,963,724,526","8,629,805,529","10,759,971,145","12,828,361,787","15,177,771,246","18,287,925,580","20,199,228,809","20,809,018,211","22,173,195,795","25,249,755,439","27,789,291,539","33,263,178,788","31,936,134,055","36,196,525,081","34,894,074,326","35,012,136,001","22,683,534,642","25,110,785,707","27,806,112,323","23,887,615,845","23,389,534,715","24,384,767,314","24,786,166,753","26,502,461,810","25,095,655,015","22,776,943,200","23,929,685,961","24,965,821,598","27,473,362,450","32,903,179,475","34,841,139,764","37,105,370,129","42,772,650,392","51,818,563,147","51,873,355,900","55,860,536,002","70,542,330,360"
Algeria,General government final consumption expenditure,"686,265,761","789,496,501","1,012,694,699","1,135,289,701","1,418,166,597","2,018,277,000","2,220,554,419","2,794,713,140","3,680,879,499","4,536,410,666","5,824,440,711","6,106,387,951","6,676,550,595","7,244,612,431","7,899,465,724","9,138,191,654","11,247,923,896","11,958,554,493","11,012,877,375","9,304,180,490","10,054,883,194","6,939,396,277","8,461,456,558","9,475,225,819","7,528,416,610","7,137,799,782","7,404,144,251","7,968,326,392","8,574,053,989","8,165,425,251","7,442,697,988","8,088,569,986","8,790,545,908","10,046,153,513","11,752,547,333","11,816,631,046","13,144,009,230","15,716,052,554","22,593,322,061","22,659,853,241","29,130,527,055","32,897,021,622"
Algeria,Gross capital formation,"1,712,889,879","1,747,957,733","2,251,669,808","3,399,261,231","5,280,153,084","7,048,650,749","7,667,469,216","9,842,386,927","13,772,914,096","14,126,195,959","16,550,573,953","16,413,147,792","16,842,284,824","18,338,414,638","18,567,938,397","19,245,992,283","21,124,268,534","19,357,732,113","16,575,497,484","16,923,836,864","17,886,335,579","14,439,219,667","14,645,992,927","14,401,248,383","13,347,433,258","13,281,468,440","11,774,494,237","11,219,697,318","13,176,178,502","12,767,050,138","12,910,759,896","14,694,056,775","17,398,962,625","20,590,341,944","28,384,617,680","32,668,852,381","35,489,411,872","46,723,264,023","64,367,565,358","64,386,691,429","65,413,728,258","65,690,675,380"
Algeria,Gross fixed capital formation (including Acquisitions less disposals of valuables),"1,580,952,509","1,624,248,459","2,094,509,891","2,997,401,910","4,057,645,160","6,070,529,553","7,531,056,182","9,268,203,478","12,806,676,924","13,073,323,071","14,301,424,127","14,607,923,973","15,567,294,487","16,772,260,277","17,554,769,610","18,450,415,689","21,549,590,805","19,151,535,563","15,510,907,728","15,219,190,670","15,838,846,554","11,680,834,737","12,730,035,045","13,884,315,858","11,624,712,703","11,367,918,663","11,679,624,809","11,057,863,513","12,406,655,152","11,863,497,506","11,329,139,785","12,503,558,111","13,946,822,302","16,346,855,852","20,495,271,691","23,085,774,085","27,110,111,804","35,532,387,390","49,987,662,350","52,464,619,871","58,491,157,944","51,862,445,354"
Algeria,Changes in inventories,"131,937,370","123,709,274","157,159,917","401,859,321","1,222,507,924","978,121,196","136,413,034","574,183,449","966,237,172","1,052,872,887","2,249,149,827","1,805,223,819","1,274,990,337","1,566,154,361","1,013,168,786","795,576,594","-425,322,270","206,196,550","1,064,589,756","1,704,646,193","2,047,489,025","2,758,384,929","1,915,957,882","516,932,524","1,722,720,555","1,913,549,777","94,869,428","161,833,805","769,523,350","903,552,632","1,581,620,110","2,190,498,664","3,452,140,323","4,243,486,092","7,889,345,988","9,583,078,296","8,379,300,068","11,190,876,633","14,379,903,008","11,922,071,558","6,922,570,314","13,828,230,026"
Algeria,Exports of goods and services,"1,143,329,995","988,736,583","1,463,588,038","2,349,599,793","5,119,416,374","5,244,836,253","5,851,110,459","6,403,556,193","6,729,620,012","10,356,926,593","14,541,427,254","15,334,786,650","13,985,261,216","13,645,172,071","13,582,762,687","13,650,105,414","8,232,963,185","9,450,812,672","8,436,089,336","10,259,223,440","14,467,527,707","13,345,648,688","12,194,957,198","10,807,222,320","9,771,296,315","11,183,728,613","14,277,684,558","14,507,978,620","11,104,333,793","13,692,398,107","23,050,166,119","20,085,449,479","20,152,501,384","25,957,128,354","34,178,426,090","48,714,917,293","57,121,819,162","63,531,235,749","82,034,752,287","48,533,798,747","61,975,419,204","88,203,274,983"
Algeria,Imports of goods and services,"1,418,613,346","1,405,726,167","1,730,255,342","2,755,076,924","4,681,217,486","6,684,545,577","6,579,046,912","8,762,266,110","10,578,683,278","10,921,123,206","12,856,975,339","13,688,976,769","13,116,395,043","12,588,957,570","12,352,672,638","11,826,643,860","10,803,398,325","8,224,314,354","13,433,057,376","15,911,805,456","15,529,999,507","10,737,597,694","11,196,700,872","11,528,006,509","12,108,418,498","12,926,222,293","10,899,025,126","10,305,151,770","11,169,401,341","11,079,856,776","11,390,171,046","12,053,062,862","14,547,471,885","16,203,134,635","21,886,254,148","24,843,324,417","25,651,591,024","33,568,752,129","49,096,310,473","49,331,031,500","50,394,143,251","57,720,897,643"
Algeria,Gross Domestic Product (GDP),"5,166,766,966","5,375,793,631","7,192,641,174","9,250,473,510","13,289,720,747","15,590,689,749","17,790,132,875","21,038,361,295","26,433,344,266","33,276,440,778","42,347,652,749","44,364,574,433","45,196,719,804","48,812,228,543","52,947,249,609","57,996,937,030","63,064,957,344","64,478,918,980","58,787,931,899","55,469,509,664","61,890,882,974","46,670,201,579","49,216,491,517","50,961,802,336","42,426,343,530","42,066,309,257","46,942,101,764","48,177,051,970","48,187,626,753","48,640,671,735","54,790,397,484","54,744,699,339","56,760,359,630","67,863,851,626","85,332,517,817","103,198,217,432","117,209,020,746","135,174,450,589","171,717,890,832","138,122,667,817","161,986,068,612","198,734,645,388"
Algeria,"Agriculture, hunting, forestry, fishing (ISIC A-B)","676,823,184","733,134,876","868,653,201","947,481,074","1,125,814,552","1,730,840,593","1,756,732,964","1,776,906,561","2,338,213,682","2,799,082,709","3,367,679,059","3,765,968,910","3,507,497,329","3,468,008,688","3,669,701,759","4,790,186,563","5,588,351,841","6,554,452,213","6,557,367,718","6,786,200,189","7,002,550,002","4,726,232,381","5,880,910,374","5,615,751,393","4,153,486,217","4,123,977,241","5,074,838,597","4,205,755,419","5,530,333,006","5,402,509,618","4,599,680,551","5,337,290,537","5,236,132,673","6,590,001,483","7,973,735,813","7,856,444,894","8,737,536,310","10,114,530,664","11,148,527,080","12,689,531,318","13,508,574,662","15,911,252,136"
